province,return_period,original_fit_rr,rr_bootstrap_median,rr_lower_95,rr_upper_95,rr_valid_bootstraps,original_fit_ric,ric_bootstrap_median,ric_lower_95,ric_upper_95,ric_valid_bootstraps
Guizhou Province,5.7339814545064725,1.4343323906177903,1.4430402693083533,1.1404993754009995,1.9449014353061496,1000,-25.23070614494493,-25.510397351447782,-39.48852691333989,-10.158035044774667,1000
Guizhou Province,5.8153018587795735,1.4382860903338028,1.4474829983868645,1.140741500671967,1.9562321101387596,1000,-24.990122050390916,-25.277398354561434,-39.13742584024916,-10.089732160457917,1000
Guizhou Province,5.8977755643327034,1.442292780651233,1.4518561342504221,1.142217380071875,1.9678353742812418,1000,-24.757658007937955,-25.04653389566824,-38.796825233858485,-9.96156954998852,1000
Guizhou Province,5.981418927501698,1.4463528324259798,1.4563760418624394,1.1429590052348022,1.9765757471949992,1000,-24.53297567975051,-24.813488920752608,-38.46629684441612,-9.829607009067532,1000
Guizhou Province,6.066248536591024,1.4504666192264852,1.4601771761278746,1.1440119099904178,1.9853446914205346,1000,-24.315754610063056,-24.57776636586747,-38.145435245916225,-9.704541481127157,1000
Guizhou Province,6.1522812151636055,1.4546345174770667,1.4654444531397375,1.1447874762536319,1.996018658964265,1000,-24.10569107144838,-24.357528013667277,-37.833888298426785,-9.58606924412161,1000
Guizhou Province,6.239534025377303,1.4588569065970205,1.4694386168016595,1.1454312297861227,2.006827065205259,1000,-23.902496999000892,-24.15493146791443,-37.53130539598363,-9.473902521657292,1000
Guizhou Province,6.328024271368712,1.4631341691357824,1.474559872324427,1.1463359111426499,2.0177714445323125,1000,-23.705899004722603,-23.95404034659006,-37.23735279301578,-9.36776848003428,1000
Guizhou Province,6.417769502684951,1.4674666909043503,1.4797926057603008,1.147295354611484,2.02875974096824,1000,-23.515637465161294,-23.781565569097417,-36.95171261256113,-9.288901320158146,1000
Guizhou Province,6.508787517764118,1.4718548611032598,1.4845699006617714,1.1483527371508873,2.039834910986129,1000,-23.331465676032945,-23.57581451749187,-36.69197398520304,-9.251383426224196,1000
Guizhou Province,6.601096367465108,1.4762990724472964,1.4883396606230948,1.1495185788126947,2.0510291232820146,1000,-23.15314906816372,-23.4013754734762,-36.43943219759994,-9.232769725740154,1000
Guizhou Province,6.694714358647497,1.4807997212871786,1.4928864447745922,1.151336496716548,2.058595938781402,1000,-22.98046447962981,-23.225529192860158,-36.15794259237752,-9.177777398049507,1000
Guizhou Province,6.789660057802188,1.4853572077283985,1.4976709768470766,1.1519118311457963,2.0725319073694797,1000,-22.813199479454667,-23.054442934799248,-35.88773830088483,-9.14318097759094,1000
Guizhou Province,6.885952294733557,1.489971935747409,1.50239883209117,1.1531513188886864,2.0866950669624127,1000,-22.65115173865803,-22.890499005943617,-35.61574882309201,-9.110747646091367,1000
Guizhou Province,6.983610166293805,1.4946443133053593,1.5061864167142451,1.1544474829100022,2.1011237457398826,1000,-22.494128444837298,-22.738441412453593,-35.35229376689208,-9.080804641289134,1000
Guizhou Province,7.082653040170284,1.4993747524594945,1.5109468283928345,1.1558006652983233,2.115754251668379,1000,-22.34194575680991,-22.61754421438237,-35.14665542183755,-8.941089785884909,1000
Guizhou Province,7.18310055872654,1.5041636694724583,1.5164553503189686,1.1568114993183187,2.1305600229442545,1000,-22.194428296159924,-22.466258307654485,-34.93702342058837,-8.837322364651293,1000
Guizhou Province,7.28497264289781,1.5090114849195628,1.5208671153026783,1.157470376983579,2.1446341359582517,1000,-22.051408672809522,-22.285899100278776,-34.71584922542082,-8.756389270121566,1000
Guizhou Province,7.388289496141789,1.5139186237942401,1.5264283483451566,1.1581835458082996,2.1544455753642695,1000,-21.912727041994664,-22.145646624562666,-34.50050280678384,-8.622337846526527,1000
Guizhou Province,7.493071608445409,1.5188855156117809,1.5318636758682354,1.1589202033242796,2.1684630822438327,1000,-21.778230690248108,-21.98902568204918,-34.29079153143,-8.49382298455313,1000
Guizhou Province,7.599339760388451,1.5239125945114818,1.5373399464220376,1.159680388595995,2.1836574309078145,1000,-21.64777364820206,-21.890319880636127,-34.086530846736565,-8.420282856999469,1000
Guizhou Province,7.7071150272647975,1.5290002993573508,1.5415432999050611,1.1617180745028506,2.198915647447439,1000,-21.521216328209157,-21.779863668974052,-33.887543866972536,-8.37379883754475,1000
Guizhou Province,7.816418783262106,1.5341490738374663,1.5478720666507637,1.1644527822470614,2.2128780813909437,1000,-21.398425184947925,-21.64132039543514,-33.69366098460166,-8.332514340019252,1000
Guizhou Province,7.927272705700797,1.5393593665621188,1.5538341243219453,1.1672469833988235,2.223942316493516,1000,-21.279272397333703,-21.51019256580796,-33.50471950487514,-8.29560980018642,1000
Guizhou Province,8.03969877933312,1.5446316311608153,1.5603240456028753,1.1700032371173643,2.23503359927821,1000,-21.163635570193513,-21.399672590416003,-33.32056330210448,-8.261699688370005,1000
