province,return_period,factual_original,factual_bootstrap_median,factual_lower_95,factual_upper_95,factual_valid_bootstraps,counterfactual_original,counterfactual_bootstrap_median,counterfactual_lower_95,counterfactual_upper_95,counterfactual_valid_bootstraps
Chongqing Municipality,193.89486295690432,-1.6102128451337432,-1.601335078623654,-1.7425540773744068,-1.4644467456990882,1000,-1.4630924549627302,-1.4566438479461064,-1.599272665064455,-1.338114457835647,1000
Chongqing Municipality,198.41775669063443,-1.615194490523941,-1.6062873216032325,-1.7480325659324967,-1.4686893629272333,1000,-1.4674890825728513,-1.4609165413683964,-1.604705730036606,-1.3414662653862222,1000
Chongqing Municipality,203.04615382664483,-1.6201647241727484,-1.6112274768737098,-1.7536593254612491,-1.4728696141595943,1000,-1.4718740469827245,-1.4652876831914328,-1.6101273207100533,-1.3449431501757563,1000
Chongqing Municipality,207.78251539288505,-1.6251236248496723,-1.6163574255697921,-1.7595990835050432,-1.4767657688593845,1000,-1.4762474336834148,-1.4695815088584594,-1.6149662867090797,-1.348408928261359,1000
Chongqing Municipality,212.62935982453996,-1.63007127043108,-1.6212284681282925,-1.7651092702828193,-1.480650790615709,1000,-1.4806093271575913,-1.4739095894746728,-1.6192419607109616,-1.3518786945571517,1000
Chongqing Municipality,217.58926430313986,-1.6350077379142043,-1.6259088880922001,-1.770447872602493,-1.4845247633503642,1000,-1.4849598108958073,-1.4781902774028044,-1.6246680250154697,-1.355339697513124,1000
Chongqing Municipality,222.66486612690946,-1.6399331034308808,-1.6306727600859974,-1.7760188933364074,-1.488406427907217,1000,-1.489298967412461,-1.4825911726633407,-1.6300838557056916,-1.3587898539820922,1000
Chongqing Municipality,227.85886411308147,-1.6448474422610087,-1.635538019822405,-1.7815527111220608,-1.4922789356845791,1000,-1.493626878261418,-1.4868167641014043,-1.6354895178737836,-1.362516206077617,1000
Chongqing Municipality,233.1740200329213,-1.6497508288457403,-1.64025382159386,-1.786896026301905,-1.4961406662677335,1000,-1.4979436240513277,-1.4911001483499318,-1.6406558742761057,-1.366257058604055,1000
Chongqing Municipality,238.6131600802258,-1.6546433368004148,-1.6451757993288738,-1.7922281071862847,-1.499991699265456,1000,-1.502249284460624,-1.495229797796466,-1.6456403679308096,-1.369987082282175,1000
Chongqing Municipality,244.17917637407817,-1.6595250389272393,-1.6500842668515103,-1.7975490274294483,-1.503832113350031,1000,-1.5065439382522323,-1.4992239456822252,-1.6506116999230112,-1.3737270884002928,1000
Chongqing Municipality,249.87502849665435,-1.6643960072277155,-1.6548497273566734,-1.8028588598862152,-1.508201865729271,1000,-1.5108276632879711,-1.5034114455134417,-1.6555615659096747,-1.3775041959754177,1000
Chongqing Municipality,255.70374506690382,-1.669256312914834,-1.659721680177598,-1.808157676624025,-1.5129257726470489,1000,-1.5151005365426793,-1.5077615628370244,-1.6604999847818058,-1.3811452511477416,1000
Chongqing Municipality,261.66842535093735,-1.6741060264250207,-1.664513635536995,-1.813634891245867,-1.5176401893365123,1000,-1.5193626341180533,-1.5121850991634698,-1.6654270338260289,-1.3848198245112124,1000
Chongqing Municipality,267.77224090997964,-1.6789452174298611,-1.669139366348075,-1.8194214660586097,-1.5216632403372456,1000,-1.5236140312562192,-1.5165195483217149,-1.6703427894777088,-1.3884855157901232,1000
Chongqing Municipality,274.0184372867646,-1.6837739548475992,-1.6736495494352899,-1.825197353129139,-1.525197128071977,1000,-1.5278548023530294,-1.5206654029241,-1.6756319349004394,-1.3921637617968359,1000
Chongqing Municipality,280.41033573126487,-1.6885923068544075,-1.678605287745703,-1.8309626182497116,-1.528720339536919,1000,-1.5320850209711074,-1.5247014497764846,-1.6808030529779692,-1.3958317256184767,1000
