distribution,sumsquare_error,aic,bic,kl_div,ks_statistic,ks_pvalue,dataset,rank_sse
weibull_min,0.03317020256098448,inf,inf,0.4923004748990084,0.018654276425745908,0.9916447481701554,Guizhou Province__counterfactual,3.0
gamma,0.0009415937689890582,4791.209175604856,4803.99937039263,0.3107365518075978,0.02895717404993059,0.7594585268912569,Sichuan Province__factual,3.0
genextreme,0.0009415392273763735,4790.611242307731,4803.401437095506,0.3069240742909464,0.02945860707741399,0.7408060416182292,Sichuan Province__factual,2.0
logistic,0.0010274930208664722,4814.61741770242,4823.144214227604,0.3542554790335795,0.03482856020256775,0.535738525254196,Sichuan Province__factual,6.0
lognorm,0.0009376746505570352,4791.370786542602,4804.160981330377,0.3131934765918329,0.027229625645304067,0.8207788778956373,Sichuan Province__factual,1.0
norm,0.0010818467954795275,4811.569942537746,4820.096739062929,0.3257857963750803,0.048060281474948785,0.17118202059603693,Sichuan Province__factual,7.0
pearson3,0.000941594012799898,4791.209175606053,4803.999370393827,0.31073757794220047,0.028957363126796642,0.7594515516554229,Sichuan Province__factual,4.0
weibull_min,0.0010273892860875287,4797.8709494251125,4810.661144212887,0.3335883870454583,0.04593315695844147,0.21137756086353177,Sichuan Province__factual,5.0
gamma,0.0027378531995765243,4360.907848219814,4373.698043007588,0.5251438600056874,0.02075095906701596,0.9740600155290169,Sichuan Province__counterfactual,3.0
genextreme,0.0027371315811175276,4363.151756697394,4375.941951485169,0.5320875327317901,0.020005204825522593,0.9819111449010504,Sichuan Province__counterfactual,2.0
logistic,0.0031441776099400786,4409.092521517694,4417.619318042877,0.5668606659468751,0.04461827423290198,0.23962182983038627,Sichuan Province__counterfactual,6.0
lognorm,0.002736959672269561,4363.194318933081,4375.984513720856,0.5270839543608178,0.01932306680862117,0.9874914359922902,Sichuan Province__counterfactual,1.0
norm,0.003339607722912846,4406.611447122269,4415.138243647452,0.5980331722048148,0.06326496156699835,0.02862095841413881,Sichuan Province__counterfactual,7.0
pearson3,0.0027378599164581863,4360.907848283274,4373.698043071048,0.5251335702155938,0.020753644652879488,0.9740282254877745,Sichuan Province__counterfactual,4.0
weibull_min,0.002796515525314402,inf,inf,0.45544168097081467,0.028952323197375507,0.759637463670111,Sichuan Province__counterfactual,5.0
gamma,0.0003057746347929793,5293.842493479368,5306.632688267143,0.30551419653209644,0.02165539289731755,0.9618523975851504,Hunan Province__factual,2.0
genextreme,0.0003033775799673713,5290.655933356716,5303.44612814449,0.30421009921269215,0.023962319458783132,0.9165599012683644,Hunan Province__factual,1.0
logistic,0.0003589767429383062,5314.142025196819,5322.668821722003,0.3509895687306861,0.035402557393227174,0.5146171160748219,Hunan Province__factual,7.0
lognorm,0.00030674705957267834,5294.149362090564,5306.939556878338,0.3064047711611961,0.02233417992722453,0.9506514780929953,Hunan Province__factual,4.0
norm,0.00033366599139548244,5297.804378579504,5306.331175104688,0.3291997431570207,0.041078512562538805,0.32939952095898906,Hunan Province__factual,6.0
