Province,Return_period,RR_bootstrap_median,RR_lower_95,RR_upper_95,RIC_bootstrap_median,RIC_lower_95,RIC_upper_95
Sichuan Province,21.54558548747015,649.3980907729765,72.02190325788044,999999.9999999995,66.17030734067184,58.34613918602519,76.23317794312135
Sichuan Province,21.851149036296203,661.0620749878772,72.19632858348535,999999.9999999995,66.09075619840226,58.2535174974922,76.19485567302625
Sichuan Province,22.161046144886758,672.8626273031862,72.36830955305189,999999.9999999995,66.0106274984943,58.16106458916729,76.15712489794203
Sichuan Province,22.475338272602087,683.6697144391682,72.53783964598433,999999.9999999995,65.93084177878382,58.06877939482093,76.12960208653587
Sichuan Province,22.794087750430666,693.1431007058666,72.70491254694859,999999.9999999995,65.85874103696324,57.97666086305193,76.10217940991414
Sichuan Province,23.11735779335081,703.5894569506653,72.8695221462495,999999.9999999995,65.78622130072448,57.83256372765552,76.07485605199378
Sichuan Province,23.44521251286752,716.6140976846882,73.03166254017954,999999.9999999995,65.71364269955438,57.681814580646034,76.04763120758713
Sichuan Province,23.777716929727255,729.8934458640731,73.19132803134079,999999.9999999995,65.64571649130605,57.5312207015919,75.9979043599415
Sichuan Province,24.11493698681292,743.4329101023195,73.34851312893811,999999.9999999995,65.58378242420474,57.41611970264205,75.94276237480014
Sichuan Province,24.456939562221798,757.2380235902278,73.50321254904749,999999.9999999995,65.52081427968162,57.32145471031762,75.89622714558664
Sichuan Province,24.80379248252897,771.3144472031111,73.6554212148535,999999.9999999995,65.45996377582624,57.226887350681785,75.86010409086892
Sichuan Province,25.155564536238728,785.0899838383116,73.80513425686068,999999.9999999995,65.4050585662296,57.13241726034815,75.83348433386573
Sichuan Province,25.5123254874269,799.0755323554051,73.9523470130772,999999.9999999995,65.34257926555827,57.0380440816882,75.83877779882937
Sichuan Province,25.874146089576563,812.5968142308592,74.09705502917127,999999.9999999995,65.25844219899079,56.94376746272225,75.84424961335995
Sichuan Province,26.241098099610003,826.8238851086364,74.23925405859715,999999.9999999995,65.1876373403515,56.84958705701257,75.83937879538247
Sichuan Province,26.613254292119716,841.0301361817076,74.37894006269676,999999.9999999995,65.12405554622839,56.75550252355864,75.81456615510002
Sichuan Province,26.990688473801132,853.8968618087266,74.51610921077157,999999.9999999995,65.05869963182204,56.66151352669475,75.78984852959381
Sichuan Province,27.37347549809014,866.77283665408,74.6530887871446,999999.9999999995,64.97805688854541,56.56761973598937,75.76522518023202
Sichuan Province,27.761691280008147,877.369574683576,74.78930671798403,999999.9999999995,64.9202083327808,56.473820826147026,75.74069537766108
Sichuan Province,28.155412811217662,889.1976265012452,74.9230321825609,999999.9999999995,64.85906616722184,56.3801164769115,75.7162584016484
